ControlType.Pane | Claude
ControlType.Button | Minimize
ControlType.Button | Maximize
ControlType.Button | Close
ControlType.Document | New chat - Claude
ControlType.Button | Menu
ControlType.Button | Collapse sidebar
ControlType.Button | Search
ControlType.Button | Back
ControlType.Button | Forward
ControlType.Group | Sidebar
ControlType.Hyperlink | Skip to content
ControlType.Thumb | Resize sidebar
ControlType.Group | Mode
ControlType.Button | Chat
ControlType.Button | Cowork
ControlType.Button | Code
ControlType.Button | New chat
ControlType.Button | Projects
ControlType.Button | Artifacts
ControlType.Button | Customize
ControlType.Button | Recents
ControlType.Button | View all
ControlType.Button | Self-referential systems and fixed-point theorems
ControlType.Button | More options for Self-referential systems and fixed-point theorems
ControlType.Button | Connecting to MSIX Electron app via connectOverCDP
ControlType.Button | More options for Connecting to MSIX Electron app via connectOverCDP
ControlType.Button | Playwright support for Electron apps in 2026
ControlType.Button | More options for Playwright support for Electron apps in 2026
ControlType.Button | MCP vs A2A protocol differences
ControlType.Button | More options for MCP vs A2A protocol differences
ControlType.Button | Invoke-CommandInDesktopPackage and MSIX package identity
ControlType.Button | More options for Invoke-CommandInDesktopPackage and MSIX package identity
ControlType.Button | Enabling Chrome DevTools Protocol on running Electron MSIX apps
ControlType.Button | More options for Enabling Chrome DevTools Protocol on running Electron MSIX apps
ControlType.Button | Playwright with MSIX-packaged Electron apps on Windows 11
ControlType.Button | More options for Playwright with MSIX-packaged Electron apps on Windows 11
ControlType.Button | Windows desktop automation stack for Electron apps
ControlType.Button | More options for Windows desktop automation stack for Electron apps
ControlType.Button | Stefanie
ControlType.Button | More options for Stefanie
ControlType.Button | Windows desktop automation stack for Electron apps
ControlType.Button | More options for Windows desktop automation stack for Electron apps
ControlType.Button | Rebuilding Windows desktop automation stack for Claude
ControlType.Button | More options for Rebuilding Windows desktop automation stack for Claude
ControlType.Button | AI automation frameworks for Windows beyond MCP
ControlType.Button | More options for AI automation frameworks for Windows beyond MCP
ControlType.Button | Watching Harry Potter with Russian dubbing and English subtitles
ControlType.Button | More options for Watching Harry Potter with Russian dubbing and English subtitles
ControlType.Button | Batumi Summer
ControlType.Button | More options for Batumi Summer
ControlType.Button | Georgian Payoneer Help
ControlType.Button | More options for Georgian Payoneer Help
ControlType.Button | Feferman's extensions of Turing's doctoral work
ControlType.Button | More options for Feferman's extensions of Turing's doctoral work
ControlType.Button | Semantic Primes
ControlType.Button | More options for Semantic Primes
ControlType.Button | 💬 Can you look up the research o…
ControlType.Button | More options for 💬 Can you look up the research o…
ControlType.Button | Ontic Structural Realism
ControlType.Button | More options for Ontic Structural Realism
ControlType.Button | Организация дневника травмы и эмоциональной поддержки
ControlType.Button | More options for Организация дневника травмы и эмоциональной поддержки
ControlType.Button | Doug Doug Max
ControlType.Image | Doug
ControlType.Text | Doug
ControlType.Text | Max
ControlType.Button | Get apps and extensions
ControlType.Group | Primary pane
ControlType.Text | Good evening, Doug
ControlType.Edit | Write your prompt to Claude
ControlType.Text |
ControlType.Text | Type / for skills
ControlType.Button | Add files, connectors, and more
ControlType.Button | Model: Opus 4.8 High
ControlType.Text | Opus 4.8
ControlType.Text |  High
ControlType.Button | Settings
ControlType.Button | Press and hold to record
ControlType.Button | Use voice mode
ControlType.List | Prompt categories
ControlType.ListItem | Write
ControlType.Button | Write
ControlType.ListItem | Learn
ControlType.Button | Learn
ControlType.ListItem | Code
ControlType.Button | Code
ControlType.ListItem | Life stuff
ControlType.Button | Life stuff
ControlType.ListItem | From Drive
ControlType.Button | From Drive
ControlType.Group | Notifications (F8)
