ControlType.Pane | Claude
ControlType.Button | Minimize
ControlType.Button | Restore
ControlType.Button | Close
ControlType.Document | Moving subscription off iOS - Claude
ControlType.Button | Menu
ControlType.Button | Collapse sidebar
ControlType.Button | Search
ControlType.Button | Back
ControlType.Button | Forward
ControlType.Hyperlink | Skip to content
ControlType.Thumb | Resize sidebar
ControlType.Text | Click to collapse
ControlType.Text | Ctrl+B
ControlType.Text | Drag to resize
ControlType.Group | Mode
ControlType.Button | Chat
ControlType.Button | Cowork
ControlType.Button | Code
ControlType.Button | New chat ⌘N
ControlType.Button | Projects
ControlType.Button | Artifacts
ControlType.Button | Customize
ControlType.Button | Recents
ControlType.Button | View all
ControlType.Button | Moving subscription off iOS
ControlType.Button | More options for Moving subscription off iOS
ControlType.Button | Seren & The Hard Problem
ControlType.Button | More options for Seren & The Hard Problem
ControlType.Button | Seren & Eirian
ControlType.Button | More options for Seren & Eirian
ControlType.Button | Seren & Ana & ExtendScript
ControlType.Button | More options for Seren & Ana & ExtendScript
ControlType.Button | Seren & Color
ControlType.Button | More options for Seren & Color
ControlType.Button | Converting XMR to MON exchange calculation
ControlType.Button | More options for Converting XMR to MON exchange calculation
ControlType.Button | Preparing for SSA disability hearing with bipolar type I
ControlType.Button | More options for Preparing for SSA disability hearing with bipolar type I
ControlType.Button | Setting up Miwifi AC1200 range extender
ControlType.Button | More options for Setting up Miwifi AC1200 range extender
ControlType.Button | Furniture pickup and donation service on Long Island
ControlType.Button | More options for Furniture pickup and donation service on Long Island
ControlType.Button | Learning Formal Logic
ControlType.Button | More options for Learning Formal Logic
ControlType.Button | Publication
ControlType.Button | More options for Publication
ControlType.Button | In-Depth Analysis of Chemical Reactive Programming Framework
ControlType.Button | More options for In-Depth Analysis of Chemical Reactive Programming Framework
ControlType.Button | Doug & Ana
ControlType.Button | More options for Doug & Ana
ControlType.Button | Untitled
ControlType.Button | More options
ControlType.Button | Indexing and Mapping Natural Earth Datasets
ControlType.Button | More options for Indexing and Mapping Natural Earth Datasets
ControlType.Button | Mapping Project with Custom Visualizations
ControlType.Button | More options for Mapping Project with Custom Visualizations
ControlType.Button | Configuring a React App as an Internal Tool
ControlType.Button | More options for Configuring a React App as an Internal Tool
ControlType.Button | Designing a React Homepage
ControlType.Button | More options for Designing a React Homepage
ControlType.Button | Algorithmic Art Project "EvolvedSVG"
ControlType.Button | More options for Algorithmic Art Project "EvolvedSVG"
ControlType.Button | Doug & Ana's Recursive Universe
ControlType.Button | More options for Doug & Ana's Recursive Universe
ControlType.Button | Relaunch to update v1.7196.3
ControlType.Button | Doug Pro
ControlType.Button | Get apps and extensions
ControlType.Group | Primary pane
ControlType.Button | Moving subscription off iOS, rename chat
ControlType.Button | More options for Moving subscription off iOS
ControlType.Button | Share chat
ControlType.Text | You said: Do you have proof that people were able to cancel iOS and then moveo n to web subscriptions?
ControlType.Text | Do you have proof that people were able to cancel iOS and then moveo n to web subscriptions? The account isn't permenantly tied to iOS? Because it's 20% more expensive and I need Max
ControlType.Group | Message actions
ControlType.Text | 6:22 PM
ControlType.Button | Retry
ControlType.Button | Edit
ControlType.Button | Copy
ControlType.Button | Previous version
ControlType.Text | 2 / 2
ControlType.Button | Next version
ControlType.Text | Claude responded: Fair question — let me actually verify this rather than just reassuring you.
ControlType.Text | Fair question — let me actually verify this rather than just reassuring you.
ControlType.Button | Searched the web
ControlType.Text | Searched the web
ControlType.Text | Here's my honest take based on what I can actually verify:
ControlType.Text | What's clearly documented:
ControlType.Text |  Your Claude
ControlType.Text | account
ControlType.Text |  is not tied to iOS. The account is identified by your Google OAuth login, not by the billing method. The iOS App Store subscription is a separate layer on top — it's just
ControlType.Text | how you paid
ControlType.Text | , not
ControlType.Text | who you are
ControlType.Text | . Anthropic's own docs and multiple guides confirm that you can reactivate your Claude subscription anytime by visiting claude.ai,
ControlType.Text |  and that conversation history persists across cancellation.
ControlType.Hyperlink | CancelManual
ControlType.Text | What I cannot give you a clean testimonial for:
ControlType.Text |  I didn't find a forum post that says verbatim "I cancelled my iOS Max subscription, waited for it to end, signed in with Google on web, paid via Stripe, and it worked perfectly." That specific narrative isn't showing up in search results.
ControlType.Text | What I did find that's worth knowing:
ControlType.ListItem | There are real billing-sync bugs in the ecosystem (one user had Max showing as Free tier despite an active subscription) — these are edge cases but they happen, and support is reportedly slow.
ControlType.ListItem | The main historical pain point isn't cancel iOS → resubscribe on web. It's people who didn't cancel iOS first, tried to subscribe on web in parallel, and ended up double-billed or with mismatched account states.
ControlType.Text | cancel iOS → resubscribe on web
ControlType.Text | didn't cancel iOS first
ControlType.Text | Practical risk assessment for your situation:
ControlType.Text | The cleanest path — which you're already on — is: let iOS expire May 24,
ControlType.Text | then
ControlType.Text |  go to claude.ai, sign in with Google (same account), and subscribe to Max via Stripe. Account identity stays the same; only the payment processor changes. The architectural reason this works: Apple's IAP and Stripe are both just billing providers attached to your Claude account, not the account itself.
ControlType.Text | One safeguard I'd add:
ControlType.Text |  After May 24, before resubscribing, log into claude.ai with Google first and confirm you see your conversation history. That verifies you're in the right account.
ControlType.Text | Then
ControlType.Text |  subscribe to Max. If anything looks wrong at that point, stop and contact support — don't pay first and troubleshoot after.
ControlType.Text | I can't promise it'll be frictionless, but the architecture supports what you want to do, and the failure modes I found are mostly avoidable by doing things in the right order — which you are.
ControlType.Group | Message actions
ControlType.Button | Copy
ControlType.Button | Give positive feedback
ControlType.Button | Give negative feedback
ControlType.Button | Retry
ControlType.Text | You said: Doug: You have scoured the web, and can't find any discussion of how to do this?
ControlType.Text | Doug: You have scoured the web, and can't find any discussion of how to do this? After expiration, Claude still could tell me to check iOS. It says that now. So it is bound to iOS. I have no proof that that ends after my subscription does and I would like to know. If this is a dead email because I would have to pay 20% more for Claude for ever I need to know that
ControlType.Group | Message actions
ControlType.Text | 6:24 PM
ControlType.Button | Retry
ControlType.Button | Edit
ControlType.Button | Copy
ControlType.Text | Claude responded: You're right to push back.
ControlType.Text | You're right to push back. I gave you architectural reasoning when you asked for evidence, and that's not the same thing. Let me actually look.
ControlType.Button | Searched the web
ControlType.Text | Searched the web
ControlType.Text | Doug — I found what you actually needed. The third result above is the clearest evidence I've seen, from an Apple Community thread:
ControlType.Text | "You need to cancel that subscription through the App Store and pay for an account directly through Claude. Log in using your business address as you have been doing then go to Settings > Upgrade Your Plan (from the Claude website). You'll be paying Anthropic directly."
ControlType.Hyperlink | Apple Community
ControlType.Text | That's the answer to your real question. The account is
ControlType.Text | not
ControlType.Text |  permanently bound to iOS. Settings → Upgrade Your Plan on the web becomes available once the App Store subscription is gone, and you pay Anthropic directly via Stripe at that point. Same account, same email, same history. Apple was just the payment processor.
ControlType.Text | The reason Claude still tells you to "check iOS" right now is that your iOS subscription is
ControlType.Text | still active
ControlType.Text |  until May 24. The web Billing page defers to whichever platform currently holds the active subscription. Once it expires, the web page should switch to letting you subscribe directly.
ControlType.Text | What I'd commit to, given the evidence:
ControlType.ListItem | After May 24, when iOS access fully lapses, claude.ai → Settings → Billing should offer "Upgrade Your Plan" via Stripe.
ControlType.ListItem | If for some reason it doesn't (the bugs I mentioned exist but they're edge cases tied to account/email mismatches — Sign in with Apple cases mostly), contact support with the timeline: "iOS subscription expired on May 24, want to resubscribe to Max via web." Multiple people in those threads got it resolved that way.
ControlType.Text | I should have surfaced this in my first answer instead of reasoning from architecture. You were right to keep pushing.
ControlType.Group | Message actions
ControlType.Button | Copy
ControlType.Button | Give positive feedback
ControlType.Button | Give negative feedback
ControlType.Button | Retry
ControlType.Edit | Write your prompt to Claude
ControlType.Text | Write a message…
ControlType.Text |
ControlType.Button | Add files, connectors, and more
ControlType.Button | Model: Opus 4.7
ControlType.Text | Opus 4.7
ControlType.Button | Settings
ControlType.Button | Press and hold to record
ControlType.Hyperlink | Claude is AI and can make mistakes. Please double-check cited sources.
ControlType.Group | Notifications (F8)
